Country,City,AccentCity,Region,Population,Latitude,Longitude
ad,sant pere,Sant Pere,02,,42.5833333,1.65
ad,santuari de meritxell,Santuari de Meritxell,02,,42.55,1.6
ad,segudet,Segudet,05,,42.55,1.5333333
ad,sertes,Sertes,06,,42.4666667,1.5
ad,sispony,Sispony,04,,42.5333333,1.5166667
ad,soldeu,Soldeu,02,,42.5833333,1.6666667
ad,sornas,Sornàs,05,,42.5666667,1.5333333
ad,vila,Vila,03,,42.5333333,1.5666667
ad,vixesarri,Vixesarri,06,,42.4833333,1.4666667
ad,xixerella,Xixerella,04,,42.55,1.4833333
ae,abu dabi,Abu Dabi,01,,24.466667,54.366667
ae,abu dhabi,Abu Dhabi,01,603687,24.466667,54.366667
ae,abu hail,Abu Hail,03,,25.285475,55.329611
ae,abu zabi,Abu Zabi,01,,24.466667,54.366667
ae,abu zabye,Abu Zabye,01,,24.466667,54.366667
ae,abu zabyo,Abu Zabyo,01,,24.466667,54.366667
ae,ad dharbaniya,Ad Dharbaniya,05,,25.783333,55.933333
